code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Národ Sobě;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
;Prace;743;508;508;118;0;0;0;3;21;92;0;2;62;3;3;0;0;0;0;17;0;10;3;69;13;47;42;1;0
;Pravlov;476;262;262;62;0;0;0;0;31;10;0;1;23;4;3;0;0;0;1;5;0;6;6;45;3;23;34;0;0
;Prštice;763;513;513;180;0;0;1;1;40;35;0;0;56;5;1;0;1;2;0;21;2;6;9;54;14;44;40;0;0
;Předklášteří;1170;738;736;193;0;0;0;2;49;64;1;1;83;3;4;0;1;0;3;42;0;14;7;97;35;71;62;0;2
;Přibice;836;528;527;150;1;0;0;0;51;44;1;0;47;2;8;0;4;1;0;22;2;5;8;93;19;37;30;0;0
;Příbram na Moravě;519;340;339;93;0;0;1;0;51;51;0;0;18;2;2;0;0;1;0;11;1;8;4;50;14;12;20;0;0
;Přibyslavice;402;229;229;55;0;0;1;1;33;6;0;0;26;1;0;1;0;1;0;15;0;1;1;23;2;14;43;0;1
;Přísnotice;696;471;471;156;0;0;2;4;27;37;0;3;39;4;6;0;0;1;0;11;1;9;14;64;12;41;34;0;3
;Radostice;604;381;381;123;0;0;0;2;43;7;1;0;34;2;7;1;1;0;0;6;1;5;9;39;18;43;37;0;0
;Rajhrad;2831;1965;1957;565;0;1;2;4;105;148;1;0;233;27;18;3;1;2;2;66;1;37;30;219;83;219;177;1;2
;Rajhradice;1128;675;675;191;0;0;0;0;30;46;2;0;77;5;7;1;0;4;4;15;1;12;14;94;31;60;73;0;0
;Rašov;191;133;133;37;0;0;0;0;15;17;0;0;14;1;1;0;0;0;0;7;1;0;0;8;1;8;23;0;0
;Rebešovice;744;524;524;160;1;0;0;0;25;36;0;2;82;5;5;0;3;4;0;17;0;16;6;58;25;42;35;0;0
;Rohozec;190;141;141;55;0;0;0;0;16;1;0;0;5;1;1;0;0;1;0;4;0;1;1;10;14;19;10;0;0
;Rojetín;66;37;37;12;0;0;0;0;5;10;0;0;1;0;0;0;0;0;0;1;1;0;0;4;0;1;2;0;0
;Rosice;4802;3004;2998;892;3;0;1;5;263;145;1;3;348;22;14;1;3;10;16;84;8;68;60;361;154;284;233;2;2
;Rozdrojovice;772;572;571;137;1;0;1;1;18;30;1;1;96;3;7;3;1;0;1;29;1;23;4;65;47;64;31;0;0
;Rudka;310;216;215;40;0;0;0;0;33;38;0;0;22;0;0;0;0;0;0;7;0;5;1;27;5;22;13;0;0
;Řícmanice;620;411;411;86;2;0;0;0;23;12;0;0;69;4;4;0;1;1;0;32;3;7;8;53;28;42;32;0;0
;Říčany;1583;1101;1101;301;2;5;1;0;83;100;1;3;129;6;10;1;0;1;1;49;3;19;11;111;61;115;79;0;4
;Říčky;291;209;209;65;0;0;0;0;12;13;0;0;42;0;1;0;1;0;1;8;0;4;2;15;10;15;17;0;0
;Řikonín;0;0;0;5;0;0;0;0;1;1;0;0;6;0;1;0;0;0;1;2;1;0;1;1;0;2;3;0;0
;Senorady;329;209;209;57;0;0;0;2;30;17;0;0;31;0;0;0;0;2;0;5;1;2;2;23;4;14;17;0;1
;Sentice;481;339;339;92;0;1;0;0;27;26;0;2;48;1;0;1;1;1;0;10;1;4;2;53;15;38;13;0;0
;Silůvky;652;477;477;166;0;1;1;5;30;45;0;0;53;2;1;0;4;1;1;25;0;9;10;50;9;37;23;0;0
;Sivice;841;621;621;112;1;3;2;0;31;195;1;1;42;3;2;2;1;2;2;19;1;2;7;74;23;43;48;0;0
